app,a,b
Amazon,4144.870792248901,0.9523094095406092
Apple iCloud,1111193.3605226837,0.5712965682032523
Clash of Clans,505697.1893740407,0.0734071733814838
Deezer,2838078.0406058026,0.2727662135805869
Facebook,231703.1765107912,0.2662026852170864
Facebook Live,94.82029794322324,1.8868550054108504
Facebook Messenger,67613.90505383958,0.1599722208674536
Generic Clothes,5297.218684465933,1.2623543588308808
Gmail,12382.978597478366,0.752897423580003
Google Docs,1063209.9018545644,0.0816172190459209
Google Maps,28204.820132671204,0.56019261641451
Google Meet,26121.547534030564,0.8384196286163446
Instagram (main),5880.461566988878,0.8372949418601002
Instagram (videos),734.1026831082884,1.4499999999999995
LinkedIn,25835.193933711253,0.9357425867335188
Microsoft Mail,268388.77061080566,0.1750891943852296
Netflix,35744.69154998856,1.012455930495193
Pokemon GO,16423.009326082945,0.6577814100784818
SnapChat,655260.7588943491,0.2002134788258872
Spotify,54217.09811102232,0.3638423659343963
Telegram,678940.4823999646,0.4142033519896941
Twitch,11737.669932902572,1.2879440159292828
Twitter (main),28179.34443355724,0.632708567609337
Twitter (videos),4054.333079468736,1.2741758494035231
Uber,437063.9517895184,0.2957305552022812
Waze,18321.874770666276,0.4767565010444735
WhatsApp,4653275.167064934,-0.2117635931639464
Wikipedia,97183.2164707177,0.3657291044363314
Yahoo,232947.48716703133,0.3024789047847385
Youtube,4225.608268377652,0.9402486492101664
